0.9454798164186657,0.8641855351813196,0.7974726465345183,0.632104163440199,0.4652570001147627,0.26971908180399606
0.9365852596265973,0.8635750707765567,0.8358762423397024,0.6766296210848407,0.5527927977896337,0.33611159459028433,0.21871745800234785
0.9390312683367337,0.8884237599446679,0.8058321609863401,0.7151189239754463,0.5667570354550837,0.3050739134173888,0.151575813603091
0.9413398694517424,0.8586985699251991,0.79670679968139,0.6592403453186171,0.565660987864418,0.32258389657708614,0.19837139094794926
0.9397799707525826,0.8949711989288722,0.8030625609421632,0.6669154277276753,0.5401686272910158,0.31010806010021225,0.1927625920204793
0.9547919504906717,0.9173462092817517,0.814122964677712,0.6866562676610017,0.4768017618620858,0.33550036974934044,0.21676506016696076
0.9376372808771015,0.8802388008625828,0.8077096159472199,0.719868862383212,0.48776724293345686,0.32180441646393443,0.21979301977231855
0.9420274026249035,0.8761357932340263,0.7957613803199679,0.7181496436807548,0.5051617507642407,0.3640688481431784,0.22824288198674658,0.15036477384944477
0.9452212127215301,0.8918067239864097,0.855160179286862,0.7463808916957164,0.5497772253625736,0.4481697904909299,0.2503506898286084
0.9397960049166191,0.8597776856883462,0.8122986256686175,0.7130476483312593,0.5185175915867477,0.24304409052450063,0.1965498394988836
0.9315305078838834,0.8469037317377057,0.7474814512987212,0.6614812552630149,0.5375061843938109,0.3140771720159425,0.24689797838083805
0.9438389699580979,0.9115290107413935,0.8588843720913973,0.7008841044792078,0.5757552152306391,0.24428908749344852
0.9467750209410856,0.870809884168095,0.8190009177597456,0.6856888557713791,0.5389204146634357,0.3582446666227221,0.18833448151427173
0.9358387665702594,0.9020755438677126,0.796344413325192,0.7295401468860001,0.4451001648566675,0.3537814808444973,0.10582260886251026
0.9330763021538638,0.880341562454896,0.8411109314612236,0.7091439873497011,0.5431491345382535,0.2866014784939994,0.19873131285951828
0.952476654484621,0.8932340743466676,0.8049068799814695,0.7201646061220501,0.4378249092031865,0.3066740144820337,0.15842165824725618
0.9567809068043234,0.927712865742354,0.8604986427600599,0.7581510325945163,0.6615441151576995,0.41833619918556136,0.25348537755487244,0.18625924319436674
0.9200071699943498,0.8555392067633873,0.796473638213616,0.691652727781697,0.5499763701656016,0.4038907328360939,0.1912869807779532
0.9334580739845275,0.8844157513974088,0.7537624189781313,0.7071601177530772,0.4530722696347413,0.3407338900594567
0.946759636686222,0.8994450500286623,0.8226866306653826,0.6839948301753931,0.4995462986286175,0.3760828293373767,0.18516294879565784
0.9340784054585876,0.8823988871831285,0.8243481709859993,0.6208950176993467,0.4496695555133721,0.19754098059823275,0.14429481621234638
0.9495511446681495,0.8597081813216557,0.817082953338372,0.6886317531777617,0.4923518223602049,0.26786453342805294,0.17827504918366888
0.9498539846351309,0.9041324027634586,0.8380417037341275,0.7827402644442135,0.5581634996857826,0.3706490002382267,0.23901303112405783
0.9266747455325518,0.8773930048422591,0.8421503219686299,0.7636466381842546,0.7433183746808208,0.388455499465247,0.25782497119293507,0.18120210923650348
0.9267920295220756,0.893367471960151,0.7921768859176873,0.6692384152428309,0.5545261299685954,0.38582018626042347,0.23336240383602788
0.9445190503363237,0.8453328223315789,0.8157492494360546,0.658499959441164,0.43609951201584585,0.2942355769461525,0.1890460818962012
0.9466720170411892,0.9168421171621363,0.8219592542958916,0.7951098362319357,0.6056029801545592,0.4299542568662755,0.21181305298737413
0.9524375737937386,0.9083247771699297,0.8288915228481822,0.6831194640871985,0.6040744495585275,0.353382899115318,0.17407970816092036
0.960184465707981,0.9308780384053007,0.8599612552320838,0.8264930700687669,0.6854015715698742,0.4221520615470591,0.173900280990649
0.9545201674031969,0.8791610088493614,0.7594034035237718,0.6813943929065114,0.4225265921181151,0.2898891187422745
0.9415535496443543,0.9235311645709259,0.8186940535642552,0.7676576495733961,0.4865820631013343,0.3821126673154278,0.2455407696917313,0.1413497208141901
0.920500494088258,0.8936093722936812,0.8084809940894471,0.6563682518096979,0.4714464724090655,0.29749701372750326,0.1965548785522498
0.9394021414868995,0.8795245379153538,0.8084528707590894,0.6915481443432663,0.4053979959498966,0.38662400700715766
0.9464713920681792,0.8595378601855572,0.8351325529690748,0.7164969154448254,0.5668728792997321,0.40865408149609,0.285912735844504
0.954672497346981,0.9033077203226031,0.8559245419243205,0.7110723993529207,0.5744161662067175,0.33103783106522455,0.14561153417298606
0.9455418770978058,0.8912499267931585,0.7873889838833038,0.6447156124453943,0.4922888288801437,0.34044887135873514,0.19072993618341122
0.9138910554074335,0.8927184246035418,0.8259763166466718,0.6402192807196667,0.5282807615294745,0.2602233584301208,0.18497422303449898
0.9469209687299212,0.884891620588807,0.8032139627114623,0.70304241815465,0.4412585761490827,0.256553937400373
0.9304438611853088,0.8642498469818825,0.7459872540594243,0.5840187679244216,0.4540879568393455,0.2679473615584101
0.9497529120535226,0.910669060692539,0.7997763814308526,0.699386578386471,0.5147577928914164,0.3417479801468912,0.2617848154833575
0.9597529886805277,0.8603091750310665,0.7363071534476187,0.6119880942334146,0.4379808552943526,0.299224453569649
0.9379404184647339,0.8708108751046864,0.8041435805920141,0.6731167560999323,0.5278974171106203,0.4172021599082921,0.2114431435539887
0.9136349297632094,0.8731813471863192,0.7974373849509193,0.6644949602500066,0.513048594885176,0.35551540252592007,0.2240862249876496,0.16377747434776246
0.9485381880528765,0.9169607282075799,0.7981432055630322,0.7755795235768527,0.6149086583289788,0.4844644312093579,0.34974823969530255,0.15546109116761875
0.9088777511289671,0.8259438688337981,0.835277362492684,0.6995872756664114,0.43193557132521077,0.29555005093424347,0.14571339155020438
