0.9494957346197858,0.8794586390083116,0.8079995160959375,0.654416296832203,0.46565921671274535,0.275533320352228
0.9521973358195628,0.8789318263068783,0.8383274174138043,0.69097778090006,0.5037207639365273,0.3259486242514786,0.19088201015815515
0.9368087153409033,0.903423088598496,0.8083083264331832,0.7086066627836638,0.5275959778123027,0.28114636336611964,0.1537890770038321
0.9474724516126323,0.8682927404526625,0.7919794261217913,0.6364395261081338,0.5357632738574719,0.3104125400557083,0.21038084380884697
0.9532692238942776,0.8983218519561619,0.8326796144445465,0.6834691191205532,0.5469372859989238,0.3214218614976814,0.2186844435238707
0.9592422660599125,0.9185048197503063,0.8410488542418864,0.7091846294039418,0.5446541323477841,0.39634346120792974,0.23897591541273946
0.9504178850209641,0.8813414177194425,0.8161659744037355,0.7090637687551014,0.49749618236438126,0.30568621018619,0.24468383203997263,0.14523109813451968
0.9464190002404504,0.8645890164182723,0.8043265580960872,0.6845691953068718,0.5010076787413187,0.3948902994743049,0.2404730064711055,0.16285398614496172
0.956466813641862,0.9156903709276495,0.8644544345207643,0.7640233390082045,0.5904701593569267,0.4387595639056158,0.22779073678535677
0.9428090963423371,0.8673493710448444,0.8209735804343703,0.7231670783887885,0.5307801150790391,0.25743604727032365,0.18998447913444616
0.936129171725616,0.8501670262549296,0.7595010648481483,0.6695478434878552,0.5128562483958254,0.30286295947888126,0.20876453196192293
0.9583400609732116,0.9040738661034675,0.8797639322834298,0.7291676963678139,0.5389568976105165,0.26236738445737384
0.957271592418469,0.8815208867232408,0.8280529805077813,0.6971919709462553,0.5563624889780442,0.3904443150281425,0.18116226144163936
0.9486408449473755,0.9178526424372364,0.8090931083663625,0.7400571962073451,0.4978223454481341,0.4041113816190815,0.1288846471802459
0.9436031203911347,0.897116339349559,0.8361267815521601,0.7121693946885591,0.5402537882299252,0.3136062667830865,0.1925807195899319
0.9564448703516701,0.8909891051770602,0.8125758444053365,0.7239260773626942,0.47715511199826044,0.29783291012075813,0.16438835747749247
