0.8714515223948162,0.7309055385282965,0.6464962628663501,0.4200650841296199,0.31240349827280767
0.8796809398721652,0.8430155063662166,0.7668718987482034,0.6295742475748949,0.33716668563243346,0.1419139265223133
0.8679896848291854,0.7246246503286398,0.7621508211411806,0.5859488227097226,0.3631952104549771
0.8604415042320008,0.7674611024822194,0.6739403665333957,0.6063702529879867,0.3423481351452297,0.1622994544205131
0.8593873744290355,0.8463152325722464,0.7678561234571453,0.6908183537574782,0.43748619587869514,0.1736935781585331,0.1283086789748309
0.9041897215460801,0.8543213126799918,0.7546110318475752,0.5668383928281591,0.3698590920813419,0.23631381637751825
0.8439146707382483,0.8428051290044095,0.7162671617749594,0.5136780950256092,0.22431273877038535,0.19667477076106593
0.8788092422685502,0.8078423267881706,0.6327322488830182,0.5387696033653995,0.3136158603705474,0.16574383861049186
0.8856285910292944,0.8082648748128556,0.6632376184718944,0.6274954814356293,0.31979042723065054,0.20572867784912685
0.8857081083794114,0.765022560771011,0.6463579278538216,0.5937792883720134,0.30714057312307813,0.1495364366279961
0.8563527321572056,0.8409483237073746,0.6901278169922317,0.5037475641543933,0.3004585332511667,0.15175659065274133
0.8802058338031822,0.8404258196373554,0.7367517578309503,0.5771565124588343,0.44040701608136146,0.2200892490465528
0.8696354237157681,0.8312453199454378,0.6590515514625578,0.5583113835481215,0.38174722429482677,0.14201544358570786
0.9057636862094234,0.7808702558088824,0.676735624249437,0.6019494520364761,0.309776948105868,0.21033134393036815
0.8824323717304532,0.7851929270875074,0.732601205016331,0.6419826689399254,0.4504905821414098,0.2704337099352731
0.8882556284484303,0.8405934336987881,0.6920854591607787,0.6494193411312318,0.40757431519800397,0.27283106909766114,0.12936002434049526
0.8802011163168635,0.8415475438014747,0.7631186667348342,0.6057672215211234,0.504674790999267,0.17360432879959842
0.8589362605814016,0.8392644801401344,0.7385481556200798,0.6382122307848397,0.47968887340131305,0.16535353698756644
0.8583608808047913,0.8013147232428881,0.6580553373031202,0.6700507070705836,0.3823105501951909,0.2613547725905203
0.9133373394229924,0.7791258949311742,0.6538115891824667,0.5768988815678788,0.3131100977497414,0.25800611487745184
0.8860452442196346,0.8416512549983007,0.6943835762850263,0.5303886510847388,0.3267834540473835
0.8740510328737969,0.75399169149563,0.6669588127475145,0.5485518180321425,0.2847629995456655,0.13905727956799768
0.8996273476720401,0.8255828176288001,0.6451740087442116,0.6376684589176276,0.3709719348159102,0.17808170315714153
0.8592982551809388,0.7175971872010236,0.676991349078322,0.5943861461249085,0.5755259290975383,0.2039751443873669,0.13770887307609989
0.8771869506092328,0.8065195384737197,0.6026573728143235,0.4931099373259812,0.34326576519205326,0.20054241772628292
0.8852092611267064,0.731972455271738,0.6900245602207842,0.508247997196768,0.3400073648665634,0.21123252282702304,0.16223107363618752
0.8637950889610652,0.8117968188098459,0.7112849620308301,0.5950370953107688,0.3715224135234675,0.17093214046914199
0.8642563936953919,0.8372680688713376,0.6691249943087734,0.5197557916494907,0.2883688575401443,0.1864326390562798
0.8798152362647508,0.8340467958055637,0.648142638457986,0.5721947579694107,0.4117228050468049,0.20263491902362607
0.9005355134549733,0.8117949952040021,0.6797929425400758,0.5514265733557536,0.34323731271357844,0.17755357958874424
0.8717291136557477,0.8460377588839977,0.7138784900675402,0.6341970317794897,0.4243060262039697,0.2426732465079345
0.8720191879541622,0.8534917977164173,0.7942803954624122,0.5794883440263444,0.3784292093711686,0.20665202953744038,0.17387700336074272
0.8819193240548787,0.811320671399625,0.6488602026664759,0.5650280025366013,0.28865959405484826
0.8702905913081004,0.787685775730922,0.6894705787308143,0.4985832987158969,0.3932865479344661,0.2252809711628163
0.8913136725247967,0.7885020648523363,0.8288930807831835,0.598959223289957,0.3650583698728379,0.2256891914625629
0.8171667772173961,0.6831570828867846,0.6058874895807128,0.4964890784152676,0.3404889977260283,0.15271868646163972
0.8437779258849838,0.7667722237568969,0.7363319673989974,0.5116206280039326,0.39860982740987794,0.15125090389335225,0.1827433751196162
0.8614340038871835,0.8006127169727145,0.6372886587973785,0.6183447540389717,0.3505734002017561,0.1916829018192874
0.8582899610731098,0.7984947709085013,0.73367241537237,0.5893698215211003,0.41672448995750194
0.8594735932545021,0.7765565804399718,0.7554251969520049,0.5339073220286901,0.37024366824617816,0.1575415491490819
0.8954421590749547,0.7809508756586335,0.6666772801257537,0.6035278129630356,0.37904091772315895,0.19072775152026572
0.8909954856518931,0.8279200941487859,0.7046682849904217,0.5975791355022912,0.29584219371600634,0.2514544062151775
0.8521200303837158,0.7454387440609047,0.7174835915621582,0.6168485453751291,0.4315740840557434,0.2573537614728992,0.13934499897539634
0.8885273395575897,0.8012727268435329,0.738491557888763,0.7003398781728641,0.447784691393246,0.37931557233908175,0.18585244285992636
0.8144229526901107,0.7096898738879854,0.7092210049288237,0.5312063357088624,0.29223430435486736,0.1747447066264089
0.8327724464196667,0.8195141431197642,0.6829925157492802,0.6244277175502778,0.4421570284665892,0.22261528642424036
0.8745569893260848,0.8039856957481646,0.6959720683951912,0.5739087527138446,0.4749546501495774,0.18003592239015456
0.8725211069540137,0.8393831046277853,0.6396610428112954,0.5278525433265565,0.32822652362196275
0.8940781903124043,0.7756541337321324,0.7178255775511709,0.48006663846975156,0.3419550419763013
0.8039488193846575,0.7533435741192994,0.6314772308649573,0.4179274586046937,0.27543780556377206,0.17144391885377824
