0.7320561403778396,0.27971811421653064,0.40982474233137833,0.3491128678013189
0.688776120806403,0.2992132613032681,0.2524315288565554,0.42381478814586593,0.26463728541368403
0.6921294603227353,0.38431010081976913,0.36049670007124257,0.39045114451113627,0.21608460668618976
0.7496798326611775,0.2868060312422398,0.2861607123531628,0.3702662117544525
0.7509423756091005,0.426536454642345,0.4485532652262529,0.4534990328755,0.22463728616990233
0.8192773749815397,0.35635835333016347,0.48602885476963353,0.38903693941128714
0.7992100400327331,0.2689967955269588,0.39522355629107275,0.4552685868523911,0.14270029779499213
0.7583058460755875,0.2906184701078983,0.46742043574334524,0.43368140597750093
0.7951946496158518,0.16003067534699278,0.3909857446049656,0.38463511778009535
0.7887891276899434,0.22677212107327802,0.4688909842248528,0.3829375137130722
0.7398509852228812,0.31931880519865075,0.4081547281051073,0.3675932608870096,0.18438585843009975
0.7750658471089662,0.34206531438093307,0.3463564297690991,0.48429825101342283,0.1906942473840857
0.7836552865321493,0.28508394166670564,0.3516440124742603,0.37096885131657487
0.6651025423139276,0.2534528173907245,0.4258119366470193,0.4086710222446407
0.7641622995345984,0.35538578937880433,0.4703965906781154,0.4026708604105004,0.3338017908469503
0.7177562527734968,0.26588145811178626,0.4462369511389368,0.4240620670543337,0.15634272820927786
0.7907945247133716,0.18022413057027148,0.4565073999746679,0.37950797975976835,0.24272340186641553
0.7830982818000786,0.20234558111268897,0.39160840224557164,0.4295097969128313,0.1608066876874757
0.7645013098472462,0.2804736199516815,0.45278864482823444,0.4761837549190146,0.16154369745807828
0.7925985031656981,0.27356778468024046,0.43802151090502356,0.3776672383972714,0.17399264834272749
0.7649426998930922,0.2058713130880156,0.4286001794846401,0.3360795400853501,0.20589749088182388
0.7913827861118198,0.2895514632319243,0.41296940517645714,0.4242919710732921,0.1809604828062915
0.7788572455348417,0.3770987603101266,0.4233306100514875,0.40604262458964785
0.7724796381714444,0.23107038821875686,0.3166529828129175,0.48819063221858544
0.7922628534513113,0.3292512106177903,0.528725606935666,0.253371171651086,0.21021345781646475
0.7810038939358193,0.22072177021855538,0.3567996947202883,0.4810133617835206,0.19081390772925108
0.750267434344972,0.3536201660640743,0.549727300547782,0.5261632937257213,0.19776515725806695
0.7337735304486966,0.35210626286608937,0.4101647357471417,0.45864642030149655
0.7126477210275596,0.24123113385338094,0.4660206715647272,0.4819908092554898,0.12806609431578023
0.8227302646570541,0.24719237928024462,0.3951877279609355,0.5673366123310141,0.19197727378804977
0.8062700152032605,0.21980336055937533,0.3371187869221731,0.46459905986973377
0.7518113657001385,0.17632860658484883,0.46386348422900836,0.45274063247950863,0.1930381492389413
0.810236080064877,0.2360539741209635,0.3902398638324211,0.48157941606020604,0.20514515356048488
0.7429782212639114,0.37796808010033606,0.4531583754416449,0.30419218494278055,0.21564762674701374
0.7826873268102963,0.226642145315536,0.38747288996411233,0.4597454775117737
0.7576227369658167,0.20114998958176777,0.3240571289434632,0.43648190957860017
0.742532225689557,0.212704114013112,0.3160203684217269,0.39152141488304965
0.772970725775522,0.32242932347009345,0.3070068834796209,0.3419763228874869
0.7582462028489039,0.3332746683110679,0.3991148717252072,0.46864314758790593
0.7454737385171238,0.4105575798972043,0.34863610258288824,0.5202372421777676,0.3807060272954334
0.8277101286871907,0.2765617077205897,0.328196202784668,0.29910465664711894
0.8008823651035981,0.21638633696027523,0.39848071917624084,0.5143873990253622
0.800813162362474,0.22044424434946655,0.43879752867212185,0.4176269613543393,0.18000711312548068
0.7588651671709284,0.20157878078293145,0.4228989562673332,0.47356602977698303,0.19206739909439793
0.7736456530719158,0.19227130041366997,0.41341396883592346,0.44090944660060316,0.22918351955586982
0.7518196240351697,0.2652076591336442,0.41901188129951367,0.5092346331621441,0.1721600757955819
0.7818763502087236,0.35626741809413276,0.3499887842193496,0.4409214722189861,0.1760535303199503
0.7446461235325696,0.2395294085087714,0.3894101465958885,0.38646130802851586,0.1643922337451658
0.7380288544273534,0.28407224315270896,0.43749602574997337,0.4798779495164948,0.19386720011233194
0.8187547858273555,0.41375740326165167,0.44134592440419446,0.45353165550609714,0.16272552027391962
