0.47463623731991783,0.2924588594192558,0.34962041965168017
0.315513469917287,0.2658345062634662
0.4431208511527525,0.24564598747253785,0.2674327035009096
0.48015011727746965,0.216406500258747,0.18795289770371826,0.3256204468571051
0.3814110524630046,0.17541824888184723,0.15585115316663423
0.3557855131477756,0.2731720480946889,0.22771779789723856
0.5592720840372544,0.29946412408693646,0.3021748376654758,0.16861568349546857
0.513772642931334,0.20296690100153789,0.3019227634132257,0.230759191661285
0.3612132216311107,0.12848123078911874,0.24218928455648303
0.3669324318445913,0.30004691370655995,0.31075471637921553,0.18380457065440467
0.41311669870443507,0.4023726953416748,0.38481925061484096,0.293632216315116
0.4509980543733089,0.25352930714991084,0.31701599182018453,0.2422990379439626
0.5014847989352968,0.3657669144206517,0.33387748519262705
0.3626085641161972,0.23571111178176815,0.2878714777539264,0.15611017739527433
0.4748298118428123,0.24562968316142852,0.2754066382650268,0.18026757539831917
0.3730581289585339,0.2333420802579782,0.33379343815197543
0.4598391256792443,0.20748016434885808,0.3005372361002836
0.5398811831162156,0.257467591967851,0.22894858404893215,0.18368008333077931
0.49788492558344905,0.29271810877393767,0.32743332727405844,0.31966283015571945
0.48430274425272574,0.31755167400290973,0.19716883541973929,0.18940410153637413
0.4669000323103495,0.26401117388930057,0.2220335962839931
0.4626617291145736,0.30430600460691015,0.18936982370227015,0.17798117435508887
0.4727063312478014,0.3062767246195072,0.27398496481896456,0.2612736889473261
0.44905438440627876,0.2678563292593492,0.3365188146853812,0.26622923405843685,0.18833764768518954
0.3596462006712235,0.2036908210414277,0.24092585348861095,0.15244718458216366,0.20094253765153305
0.4679693569546944,0.2709113534368142,0.24820552246891228,0.20337902242677136
0.4182491483810384,0.45077987566391914,0.386738777715623,0.1066105129287564,0.12626601330040382
0.5712677480829152,0.40286627575715267,0.38762588981001556,0.3112209162310202
0.3855338903123424,0.25346597543932736,0.26468097006384395,0.2367058531122474
0.4251251778958928,0.29140465732279386,0.35933839925241456,0.33339919566822496
0.42010842431036083,0.2957570818266714,0.3129205222449104,0.17067713609371837
0.4322175902073604,0.21784709680251804,0.37673180893725766,0.30921320378713707,0.15028596338151234
0.4218353882683703,0.23538283084546824,0.19758365226963767,0.24798499235876847
0.4932988621902075,0.3533321861055763,0.27949403728023486,0.24063579337001317
0.4721613137720441,0.39494641952122295,0.35484811484216855,0.3018012489730755
0.4699510173996407,0.2072052699970831,0.3409817305005393,0.24714268070303574
0.3634430181233705,0.18376049539282838,0.3177202887300517
0.6073121015321129,0.3425176596024599,0.20723913204307096,0.15570333572446027
0.3995144882213237,0.19089786220287297,0.3668963766160768,0.209225148239636
0.2843253456726583,0.3791892858043447,0.32618124824644346,0.3040124160363924
0.4337887433928176,0.4353881558247732,0.16465714949021812
0.3443360783928167,0.3595606792686107,0.34236465525913035,0.22326434807305162
0.4941846958008831,0.2848063239790188,0.5232800758581773,0.29283362295852333,0.2289287720572006
0.48994043501782647,0.25669681668342503,0.2542264788871509,0.31841245285497
0.3701051260567846,0.39923799814267835,0.278735815881775,0.2108308394985362
0.28130153458356594,0.2728396223697757,0.32840931459829376,0.2256178649081832
0.6121341439689724,0.29836093840200867,0.4290786900266671,0.34819597920444,0.1454192739621383
0.2829688485088782,0.29100890206352065,0.24576787818842452,0.1361495940664152
0.46526227792516167,0.2245670656750083,0.2105833829980747
0.3799270319128457,0.29340730870323795,0.258011720325335,0.20871374717011995
