0.6619714667701093,0.5650925882391816,0.5330589666755668,0.41926679994999844
0.5704791645159019,0.5249039482350871,0.4140543439513754,0.3039738077517998
0.7011711718404031,0.5183695743168374,0.5120436702197989,0.4158049788606904
0.6501184035433712,0.5443340359939657,0.5310128166541754,0.4691867145397575,0.21970922811434654
0.6128116863105855,0.48844564072140223,0.4575878140332101,0.3445726439998578,0.21051879887252045
0.6084692232234247,0.4382145205491376,0.483988460316589,0.3748906893018462,0.2712556970598678
0.6970285209636421,0.6030784889547867,0.49640051702015403,0.43772003900812556,0.23036161919466372
0.6948169122849049,0.5667669330799678,0.4769049117790138,0.3970810990442346
0.6066827771983236,0.5143764414270161,0.544989115616251,0.4961609980698101,0.36875301021391793
0.5718883789331436,0.5666413366199574,0.5707353699986315,0.48693513493161694,0.24742955511673836
0.6365619401956152,0.6336461709412531,0.4836287256963335,0.4005616982010324,0.20500699795600716
0.6477954803361469,0.5158208148104635,0.5517336712809953,0.466455455397915,0.22203336763140405
0.652561507781747,0.6651325456489012,0.5455171896261123,0.3720289196606646,0.3362748984084007
0.6953010147518955,0.5735127305275092,0.5217922885706328,0.3497918611385782,0.24551499611746813
0.7385015171696839,0.5995500226873902,0.4924705206735054,0.39312215148413293,0.19348212833693929
0.6329588205347294,0.6215437296337186,0.4585828266660247,0.4277733540331422,0.251303180960388
0.5409687384121048,0.5177168785035927,0.4815407617479087,0.4348167631083054,0.26677845387336896
0.6177803620558224,0.5464542117229129,0.45084649054405396,0.5086980469118264,0.26635699563061144
0.6234694883658708,0.6106834544393586,0.5613281479056422,0.4442554481464751,0.23601599203499532
0.6009315672410487,0.525333463138477,0.4556093160202086,0.30395432942095757
0.6478001910207746,0.5744122776537925,0.44638399647908567,0.2509493032646875
0.5744334802902202,0.5172286736006918,0.3746672205299443,0.39103944362369747,0.2853749590697505
0.6688366031989684,0.4259726128802787,0.5398745381998942,0.5567241678794558,0.27667888263872575
0.6448693015792647,0.6567101882074258,0.6303131387094263,0.5353001580913892,0.44874769750024507,0.18055383991880544
0.6068542752722026,0.6075955755540483,0.4417116711432888,0.47513543307861467,0.25611918780653364,0.2049212345425173
0.6743101920700855,0.5519711833446302,0.5124415338874279,0.3609540234138025,0.22099131634315528
0.5870463783372944,0.6724990966394917,0.6028037022754433,0.2931590544643594,0.34798444412848445,0.14707143753642204
0.6738554003658286,0.66827421154285,0.5629909949016048,0.47262064418180855,0.3185989306950397
0.5646291597606722,0.5360414175195365,0.5791261744420647,0.4899303005490605,0.29838638490839564
0.6229878148126137,0.6184404729308112,0.5864821950892091,0.4354410962199515,0.3168528543263629
0.6756383616394808,0.5656422344998124,0.5882125861458691,0.40677565276328786,0.2036638854452112
0.6618821503009226,0.6043438826107967,0.645765988322602,0.46022889231096265,0.22098725834165214
0.6388965301280716,0.44851943319068155,0.4338949295761189,0.41573709003494264,0.21638164274016827
0.7583561317722068,0.5093159986647993,0.525147824871728,0.3977718997823733,0.2028778915735875
0.7050034010111442,0.6067803138485235,0.6228178256163532,0.5518345813700019,0.32066897640589204
0.5832344468345448,0.4926166448468756,0.5116497547554272,0.32445373700406366,0.1916433185285143
0.642804324212735,0.5367363244720529,0.4930804270706865,0.3939646464821713,0.2482178192525798
0.6627095797512063,0.5286889615214615,0.4423823163323846,0.41732189402516495,0.27243112079439863
0.6340806671680519,0.44913806243615506,0.5518148256764036,0.4521632160855973,0.3885444119804207
0.5770796098053652,0.591257649134332,0.5048645941053078,0.45484874147438403,0.2541238072779862
0.6384801572915146,0.5561687476167226,0.42971026307323024,0.29500379465142396
0.5391453039869927,0.6417128928911638,0.5046064676630555,0.3831312002817478,0.30953726082325916
0.5905686484312682,0.5941629131374533,0.6114983898977414,0.5162152222837595,0.3729991876102545,0.22166366326335102,0.1606780060234649
0.7268456978641443,0.5238842318840009,0.508347257060143,0.525526641184096,0.27405171922178384,0.125552086044002
0.6677857687136856,0.6267622915489534,0.4943068922096765,0.47223890330636226,0.3556284886897035
0.5766375627925389,0.540979789012707,0.4708479771302219,0.49545004482207955
0.6428035580160134,0.5901427216044065,0.557738836298513,0.5919483344138942,0.35614166968567196
0.5374831314948056,0.5284039912807645,0.47169841159821807,0.3412317151380493,0.25736450584072
0.5907959525398188,0.5100690595330849,0.4016933237985964,0.2573267628398265,0.23720394440930392
0.5452581102077336,0.5214301038338519,0.43751334558893,0.2264031647658597,0.1666806338390025
